#,Address,WL,Public,$BLOBZ
2,0x1Fa696000B3Aaab50E2DfBb8857FA841F27Ce1F7,5,5,5000000
2,0x1fb7D2BB6b5fFf5F73fFD026266554F11FfDb687,5,5,5000000
2,0x1FC06B01B68461Db6AF20001A171f0a3b4635B5A,5,5,5000000
2,0x1Fea22fa1A2bf9A277bd87418251475fBE64425e,5,5,5000000
2,0x20077c6d51732375Ae785AA332C7c4a6DA3102e0,5,5,5000000
2,0x200e61f6394bc6a87b85EB54ba5716e3415033c7,5,5,5000000
2,0x201449bfdfC56DE48469a10e8194f64898b152B8,5,5,5000000
2,0x20313BF6f3071fAe1F44E23f1aED6950030BD1Db,5,5,5000000
2,0x204B05cDac205913C9b900179eAae3264d03d644,5,5,5000000
2,0x20672d5837305C75757dFf548068AEb64e248f1B,5,5,5000000
2,0x209e39cEEdAaB165fB41E3c29BF3123be9e3d196,5,5,5000000
2,0x20A6A6aCb4f7CaE11D302C52dfdc159154387161,5,5,5000000
2,0x20B0E84F57BcDc7bb757EbfB8851CEE4397D97a3,5,5,5000000
2,0x20ca8E6a16e113392f3e2Cc6b05F57fcf2aBA323,5,5,5000000
2,0x2117085E7e4eE35825A9C71bbE46AAd8c01789f3,5,5,5000000
2,0x2169Ec73eeB5287Ed3180b401B6383BEaf5a2011,5,5,5000000
2,0x217414C61e66195cE5A8cC9A1a3aE025Aec54EEB,5,5,5000000
2,0x219b0170762E43Dd903DBde5ffb1808C9d8A8e9B,5,5,5000000
2,0x21Be8486BE03DBdf2c1B4c640EA6A1329108b56b,5,5,5000000
2,0x21BF63C0418D4f1D13f884C50498B2259B321b43,5,5,5000000
2,0x22335C435Ba89d260f7DD5F9BF4FAFa8A0b748B6,5,5,5000000
2,0x226dd395D8493Ea3e456E52d5d82Dd7A5c91A691,5,5,5000000
2,0x22c9783EFa52eAD1208f7F353226588C9aD6c5A3,5,5,5000000
2,0x2308dD5F290986C91028781A75c87844cEaad672,5,5,5000000
2,0x2390CF638130F6927Ab6E3312D496e0FA9285Dce,5,5,5000000
2,0x23bBD657863FBc80c32925CC6f83e09EcFBe1573,5,5,5000000
2,0x23dCE74E2F50A5073B8128C6879c23E86F0142fB,5,5,5000000
2,0x23E2A7F837766Fa4857aa9Dc908161829C43B846,5,5,5000000
2,0x24243Ab00096FF058f9F18Dcc132AEF8D8888888,5,5,5000000
